Price,SP500,DE Ratio,Trailing P/E,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Forward P/E,PEG Ratio,Enterprise Value/EBITDA,Revenue,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta,Held by Insiders,Held by Institutions,Short Ratio,Short % of Float,Shares Short (prior 
-0.113596053,-0.324204856,0.0751404,-0.216817222,-0.065031342,0.286098994,-0.235089177,-0.340015965,0.016680298,-0.513277902,-0.393223858,-0.357196471,-0.107929521,0.078903744,-0.141244074,-0.215115965,0.205163933,0.932571931,-0.118631423,-0.037929036,-0.225968088,0.426119936,-0.377524888,0.148878817,0.569963941,-0.497162224,0.383833511,-0.785455462,-0.469980513,-0.376087247
-0.001235212,2.015241214,-0.047774476,-0.283472797,-0.106034205,0.444536924,-0.152650972,-0.357582786,-0.067974025,-0.46878386,-0.38224914,-0.283508479,-0.020875062,-0.068410428,-0.168516044,-0.041854006,-0.291276882,-0.678941489,-0.174049601,-0.037929039,-0.217753809,0.189624071,-0.189991345,-0.312424735,0.693050064,-0.498774301,0.443361413,-0.785455462,-0.491032772,-0.458604809
0.07191528,2.043754952,0.099507314,-0.174025989,-0.083669007,0.208992535,-0.305485846,-0.527395388,-0.122394661,-0.469853428,-0.369791352,-0.052082129,-0.015434159,0.084072662,-0.113972104,-0.166829845,-0.222720769,-0.60694948,-0.186597113,-0.037929039,-0.2044545,0.338798386,-0.233980694,-0.314573664,0.860894777,-0.498774301,0.459596295,-0.785455462,-0.59629407,-0.450846747
0.830192853,-1.059824449,-0.570222716,0.022923407,-0.125603753,-0.565240816,-0.824198143,-0.812368259,-0.282724818,-0.344970632,-0.162161551,-0.295022228,-0.069843195,-0.06194928,-0.375003818,-0.540337184,-0.043056474,-0.202686664,-0.382233738,-0.037929052,-0.024131514,-0.238251525,-0.251669043,-0.269087988,0.858656847,-0.436709339,0.235554919,-0.345393043,-0.457349157,-0.119365943
0.839679228,-1.125115345,-0.570630832,-0.087894916,-0.128865345,-0.497640633,-0.729718403,-0.703063596,-0.260553448,-0.337569219,-0.17951347,-0.32150385,-0.059565933,-0.204094533,-0.410067779,-0.483529984,-0.043056474,-0.202686664,-0.381501799,-0.037929052,-0.040951229,-0.238979204,-0.253011876,-0.295949608,0.7109535,-0.436709339,0.088358653,-0.536075448,-0.575241811,-0.287574819
0.871932903,-0.750959715,-0.571002938,-0.080488741,-0.128865345,-0.500809391,-0.719529412,-0.693304251,-0.265867247,-0.325761185,-0.170318436,-0.236302109,-0.057147753,-0.226062436,-0.425651762,-0.479837516,-0.043056474,-0.202686664,-0.371568352,-0.037929052,-0.04994782,-0.267722548,-0.238611152,-0.28305603,0.778091385,-0.433485185,0.118122603,-0.443109293,-0.522611162,-0.209641566
0.855068236,-0.700368151,-0.571002938,-0.093106669,-0.129331286,-0.500809391,-0.719529412,-0.693304251,-0.265867247,-0.325761185,-0.179661777,-0.269691981,-0.055334119,-0.248030339,-0.43733975,-0.479837516,-0.043056474,-0.202686664,-0.371568352,-0.037929052,-0.04994782,-0.267722548,-0.238611152,-0.28305603,0.778091385,-0.433485185,0.113793302,-0.443109293,-0.522611162,-0.209641566
0.649319303,-0.776403588,-0.571879186,-0.155099097,-0.147037068,-0.499753139,-0.736202307,-0.69525612,-0.27337986,-0.321033693,-0.223708956,-0.412462465,-0.078306823,-0.350116475,-0.495779686,-0.477281192,-0.043056474,-0.202686664,-0.382442863,-0.037929052,-0.072243721,-0.257171194,-0.199391174,-0.28305603,0.638220791,-0.433485185,0.116499115,-0.202550885,-0.451033479,-0.217752267
0.663443462,-0.633128676,-0.571879186,-0.156196308,-0.148434893,-0.499753139,-0.736202307,-0.69525612,-0.27337986,-0.321033693,-0.224450491,-0.42052209,-0.061984112,-0.359162082,-0.499675681,-0.476429084,-0.043056474,-0.202686664,-0.382442863,-0.037929052,-0.072243721,-0.257171194,-0.199391174,-0.28305603,0.638220791,-0.433485185,0.035865866,-0.550665027,-0.476296191,-0.115486912
-0.125612128,-0.531767551,0.001919624,-0.282649889,-0.198290646,-0.814516493,-0.84642867,-1.099292999,-0.358034183,-0.41038543,-0.413838531,-0.799324424,-0.129088591,-0.658959344,-0.671099494,-0.683775363,0.6117726,0.661217437,-0.297433469,-0.037929051,0.055664341,-0.243345282,-0.224719779,0.099095282,1.386808211,-0.51005884,-0.833782664,-0.547950687,0.308953093,1.518290286
-0.250199853,-0.419544431,0.033968718,-0.352597098,-0.203416004,-0.785997665,-0.805672704,-1.029025716,-0.345757474,-0.391988855,-0.434898126,-0.593228321,-0.125461322,-0.773967776,-0.713955447,-0.661052483,0.967949184,0.351098016,-0.290114087,-0.037929051,0.054099716,-0.243345282,-0.256669938,0.048237281,1.084687727,-0.51005884,-0.833782664,-0.683667701,0.45631891,1.681914853
-0.250199853,-0.419544431,0.033968718,-0.346013831,-0.201552238,-0.785997665,-0.805672704,-1.029025716,-0.345757474,-0.391988855,-0.431338758,-0.567898074,-0.125461322,-0.753292103,-0.706163455,-0.661052483,0.967949184,0.351098016,-0.290114087,-0.037929051,0.054099716,-0.243345282,-0.256669938,0.056833,1.084687727,-0.51005884,-0.833782664,-0.683667701,0.45631891,1.681914853
-0.373944344,-0.303248323,0.033968718,-0.411572195,-0.209007304,-0.785997665,-0.805672704,-1.029025716,-0.345757474,-0.391988855,-0.467229052,-0.657705314,-0.117602239,-0.839871485,-0.745123413,-0.661052483,0.967949184,0.351098016,-0.290114087,-0.037929051,0.054099716,-0.243345282,-0.256669938,-0.273027692,1.185394555,-0.51005884,-0.833782664,-0.514021433,0.372109872,1.76654825
-0.380479403,0.093458583,0.086183534,-0.026999699,-0.20807542,-1.073298445,-1.069660213,-1.259346256,-0.423082418,-0.3911332,-0.470491806,-0.799324424,-0.075888644,-0.708064068,-0.752915404,-0.825793362,0.08144773,-0.789698425,-0.246197795,-0.03792905,0.070919431,-0.283367659,-0.291861418,-0.281265256,1.02873949,-0.512476955,-0.628140821,-0.276516658,0.666841506,1.959794506
-0.397765686,1.592796417,0.061336483,0.332611244,-0.207609479,-1.1303361,-1.322532458,-1.477955581,-0.45313287,-0.422150681,-0.47523763,-0.592076946,0.011165815,-0.502599565,-0.752915404,-0.868398762,-0.005232412,-0.673403642,-0.267110315,-0.03792905,0.038844626,-0.301559649,-0.324737668,-0.300247467,0.916843014,-0.510864878,-0.914957076,0.469926921,0.666841506,1.869871522
